guid,nrs,received_bytes,sent_bytes,chassistype,vendor,model,ram,os,number_of_cores
fbd46745310e434cbeaddfb9f2f4d864,1333306.0,148963373495.0,198692684265.0,Notebook,HP,HP ZBook Power G7 Mobile Workstation,16.0,Win10,6
fc00420d9cf9483e8f5adc9cf84d76b5,474328.0,549953995800.0,2132566704170.0,Notebook,Acer,Aspire E5-576,8.0,Win10,4
fcef8a63951f42ddbd9857338c8a149b,3042765.0,502089514205.0,980034334530.0,Notebook,Lenovo,Lenovo Legion Y7000P2020H,16.0,Win11,8
fd53969a917a49eabca1b0c5f3466835,5274229.0,13264442365.0,20102781475.0,Desktop,Gigabyte,Default string,16.0,Win10,6
fd82aaf7576e4b83836f746a8d9299ce,745994.0,368345126745.0,547788344255.0,Desktop,Unknown,Other,32.0,Win10,8
fddd9f436c904c899a3e8377bce23f5a,6494625.0,575254855795.0,1306368743610.0,Desktop,Unknown,Other,32.0,Win10,4
fe1f4df006e54c04b1ba691200054a2e,411532.0,24782633670.0,26787847195.0,Notebook,Other,Default string,8.0,Win10,2
fe8843de9bfd415095664f20abd035e9,2002878.0,38494234470.0,683000347660.0,Desktop,Asus,Other,32.0,Win10,12
fe98a5825abe45b5a00cfa0ccce14d0d,4909540.0,1213269986575.0,15847626243005.0,Desktop,Unknown,Other,32.0,Win10,8
fec2f03921164ec5b2d4f4f11674a407,11463006.0,63935774900.0,78917719165.0,Intel NUC/STK,Intel,NUC7i3BNK,8.0,Win10,2
ff112c9035b84e8fa10e778c96807163,5258640.0,2782302464695.0,2829889900565.0,Desktop,Unknown,Other,16.0,Win10,6
ff3003979be448eeb680deafe2ea1ce9,842296.0,476880360435.0,1021401715505.0,Desktop,Unknown,Other,16.0,Win10,6
ff5eb152b43d4e79952d0f39c5495714,3746282.0,37777995575.0,42544799120.0,Desktop,Dell,OptiPlex 7070,16.0,Win11,8
ff7074e103b74deca112c1834e91a719,1454524.0,59229534720.0,116949237620.0,2 in 1,Lenovo,ThinkPad X1 Carbon 6th,16.0,Win10,4
ff83476dac5445a3a42581febd216f0e,5025630.0,173527761750.0,28844514477105.0,Desktop,Asus,System Product Name,32.0,Win10,6
ff952c64508c462884b8170cee1bcc49,5090782.0,115315995465.0,501033672355.0,Desktop,Unknown,Other,8.0,Win10,2
ffb38a2785684e50887e69d3f19d1b29,5179493.0,335890500215.0,543424923635.0,Desktop,Dell,OptiPlex 3010,6.0,Win10,4
005006ae2a61431f9e67aac120602321,261146.0,6243023465.0,32619993345.0,Notebook,NEC,Other,4.0,Win10,2
00885e1cd05c442cb13251c59606a7b3,22970.0,246626710.0,914736875.0,Desktop,Other,Default string,8.0,Win10,4
0100693a45484c07ba749b5d1c47be20,5908658.0,80518899965.0,127933781985.0,Other,Other,"VMware7,1",8.0,Win10,18
0190043387fc426c8472bc211e7ddb1a,2570482.0,808214212065.0,34941895650700.0,Desktop,Other,To Be Filled By O.E.M.,8.0,Win10,4
01a90ec965d74cd09e9b4590dddbb6e2,3054308.0,315042807310.0,1555584349680.0,Desktop,HP,HP EliteDesk 800 G3 TWR,32.0,Win10,4
022da6a971d34199af01f1d862b50d0e,132416.0,92049429595.0,210681756945.0,Desktop,Gigabyte,Z170X-Gaming 3,16.0,Win10,4
028d7cbdb4904d06a6c9365c00a72a2c,1036069.0,96793081675.0,809761355655.0,2 in 1,Lenovo,Lenovo YOGA 900-13ISK,8.0,Win10,2
02974c41b4e4412dbace4fe544e2ac45,11667160.0,58561758780.0,1145956767470.0,Desktop,Unknown,Other,16.0,Win10,4
032581fc6a3943c497d96fe9326557d0,5046942.0,69191314345.0,849000601175.0,Server/WS,Dell,PowerEdge T130,16.0,Win10,4
032cdaaa2c924b19b6f22728cca77546,10246968.0,358978632515.0,373175876805.0,Intel NUC/STK,Intel,NUC8i5BEH,16.0,Win10,4
035acaea7e754d3fb68361786bfc959e,1002620.0,184967402640.0,346193813150.0,Notebook,Lenovo,Lenovo IdeaPad S145-15IGM,4.0,Win10,4
03cc25bbcf8442629890cfdcc25afe41,549044.0,45813495435.0,92788554725.0,Notebook,Acer,Aspire A315-53,8.0,Win10,2
03ebf575392f4d32a359f43576c57c19,3172747.0,303373065455.0,649417197925.0,Desktop,HP,HP EliteDesk 800 G5 SFF,16.0,Win10,8
04d761624f084b03a0895697b3046c85,3657039.0,42876434595.0,10975477941780.0,Desktop,HP,HP EliteDesk 800 G2 SFF,16.0,Win11,4
05de1c2b5fad44f8a9d084e0db8906ba,55736.0,764292030.0,799597350.0,Notebook,Asus,N552VW,12.0,Win10,4
06335c284aec44a4bbbd523aedb17db6,5300961.0,1870735625830.0,4677198151875.0,Desktop,HP,Other,16.0,Win10,6
066e64f716614ec68c2b06fa4d90ac77,266212.0,369607510840.0,435275879945.0,Desktop,Unknown,To Be Filled By O.E.M.,16.0,Win10,4
06763b23101e4c1696a05dc9ba5914b2,12989072.0,59773651820.0,67425413715.0,Notebook,HP,HP EliteBook 840 G2,8.0,Win10,2
068d5464c32b42538ef26eba8af905a2,15777024.0,15812477160.0,44757269880.0,Desktop,Fujitsu,PRIMERGY TX1310 M1,8.0,Win Server,4
06b42d1324a9476197a2e28d60d7a716,4825238.0,555072137180.0,4308769992210.0,Desktop,Unknown,To Be Filled By O.E.M.,8.0,Win10,6
06d1ae3d17aa4e1185ed4506b28c99ed,1686576.0,461128958825.0,1010727023015.0,2 in 1,Microsoft Corporation,Surface Pro 3,8.0,Win10,2
06e998dcbc8649edabab88e67c8c064c,1134586.0,607891783535.0,624046885695.0,Desktop,Other,Other,8.0,Win10,2
072b08e9daed4f27a79ca214636deb00,2316942.0,2677049271905.0,2993745670885.0,Desktop,Unknown,Unknown,32.0,Win10,6
074b7a66f4aa45528933730034a7a10e,351258.0,32321401555.0,71770049485.0,2 in 1,Microsoft Corporation,Surface Book 3,32.0,Win11,4
0766e2a754724ee98a4d9e6783be8feb,382153.0,87771546270.0,304443485870.0,Notebook,Dell,Dell System XPS L702X,16.0,Win10,4
0830f95dae35429fb8b351fd049b7296,3220699.0,1031222116665.0,1522669765940.0,Notebook,MSI,GL72 6QD,24.0,Win10,4
0883ef72a56e4940a5a0e2902ed83d78,117394.0,50422348255.0,78824248885.0,Desktop,Unknown,Other,16.0,Win10,6
0899d561ec944f2db0532916f9ff6ba1,1493600.0,632758663280.0,17836061476255.0,Desktop,MSI,MS-7A12,64.0,Win Server,4
08d57647ddd8455786e3cd37427da130,472468.0,47079416575.0,93642135985.0,Desktop,HP,HP ProDesk 400 G5 MT,8.0,Win10,6
08ee3a9344c848879222e9b9826c7881,331136.0,401663278050.0,435732105470.0,Notebook,HP,HP Pavilion Laptop 15-eg0xxx,8.0,Win11,4
