countryname_normalized,number_of_systems,avg_pkg_power_consumed
Belgium,3,954.9022107874546
Austria,2,328.8036594580511
Russian Federation,20,38.106160117666974
Australia,4,28.464278814012573
Egypt,2,25.834263552791676
Norway,3,19.17204290256369
China,16,15.67982737072873
Romania,6,12.796432330259497
Portugal,3,10.940759601361206
Sweden,3,10.512711383154501
Saudi Arabia,1,10.51003728464901
Singapore,4,7.8628070016524125
Hungary,1,6.3634432823813345
Turkey,12,5.950597067147098
United Kingdom of Great Britain and Northern Ireland,20,5.100490518578992
Japan,16,4.578681993723019
"Korea, Republic of",18,4.374488193190083
Thailand,4,4.328867358373533
Indonesia,3,4.212535962357158
Germany,25,4.198799891502331
Viet Nam,5,4.051530297938396
Malaysia,5,3.9760732043446763
Philippines,4,3.6419577448616374
Poland,7,3.318436946688207
Italy,7,3.269799626087735
Ukraine,8,3.0854587914278104
"Taiwan, Province of China",5,2.9489131262744563
Czech Republic,2,2.9291911623439
Mexico,4,2.745309304797081
Other,45,2.7283053888974
France,7,2.6191871570306557
Netherlands,7,2.6035900554387243
Spain,4,2.536738282268447
India,22,2.4773815416592107
United States of America,60,2.2514533528891896
Peru,3,2.2082838377395038
Switzerland,3,1.9052544268082672
Brazil,12,1.7243089159398275
United Arab Emirates,1,1.7036881879415144
Argentina,3,1.143986462907973
Chile,2,0.8531654657539296
Israel,1,0.8366262185309186
Canada,5,0.6483313938676156
Bangladesh,1,0.6432390601088661
South Africa,1,0.6016840125391849
