app_type,exe_name,average_focal_sec_per_day,rank
Communication,zoomrooms.exe,42064.0,1
Communication,zello.exe,26474.0,2
Communication,bittitandmaoutlookconfiguratorapplication.exe,25599.0,3
Communication,scriptcommunicator.exe,23319.0,4
Communication,fs.exe,21009.0,5
Communication,controller.exe,18103.0,6
Communication,gamecenter@mail.ru.exe,13474.0,7
Communication,contacam.exe,12320.0,8
Communication,devoutlooksrv64.exe,11879.0,9
Communication,gridtracker.exe,9659.0,10
Developer tools,bsp.exe,54591.0,1
Developer tools,deleaker.exe,37280.0,2
Developer tools,xray.exe,28132.0,3
Developer tools,netterm.exe,25560.0,4
Developer tools,electron.exe,17005.0,5
Developer tools,mainframe.exe,15135.0,6
Developer tools,the sandbox.exe,14434.0,7
Developer tools,ttk3_gui.exe,14059.0,8
Developer tools,raptor.exe,13326.0,9
Developer tools,finsql.exe,11631.0,10
Entertainment,ehshell.exe,37682.0,1
Entertainment,cubase9.5.exe,24808.0,2
Entertainment,wintv8.exe,21555.0,3
Entertainment,plex htpc.exe,20426.0,4
Entertainment,jcam-main.exe,15708.0,5
Entertainment,mhtab.exe,15376.0,6
Entertainment,直播伴侣.exe,12856.0,7
Entertainment,kartina_tv.exe,12578.0,8
Entertainment,nba2k23.exe,11821.0,9
Entertainment,youku.exe,11098.0,10
Gaming,헂7뮪놾ퟷ뺫,66727.0,1
Gaming,mw.exe,61367.0,2
Gaming,e튻h,48628.0,3
Gaming,폐컄첳튻q뗄p늻풭,46102.0,4
Gaming,t첳슼쯹뒴r풭싛틔s헂,43418.0,5
Gaming,93폐,41292.0,6
Gaming,쿠쯹닡폐폅w,39344.0,7
Gaming,럇.쿠f.벰뗄,37295.0,8
Gaming,sammax200.exe,37004.0,9
Gaming,뗄pt,35704.0,10
Gaming auxiliary,mir4g.exe,32394.0,1
Gaming auxiliary,pspluslauncher.exe,17581.0,2
Gaming auxiliary,foxwq.exe,16265.0,3
Gaming auxiliary,gamebox.exe,15418.0,4
Gaming auxiliary,fivem_b2612_gtaprocess.exe,15215.0,5
Gaming auxiliary,mir4s.exe,14734.0,6
Gaming auxiliary,san14pk_ko.exe,13988.0,7
Gaming auxiliary,rustclient.exe,13766.0,8
Gaming auxiliary,fahcontrol.exe,12809.0,9
Gaming auxiliary,firestormos-releasex64.exe,12732.0,10
