ram_gb,count(DISTINCT guid),avg_percentage_used
1.000049185365072,1,81.0
1.0001387857637754,1,60.0
1.0002855035483775,1,65.0
1.000450728169302,1,50.0
1.0007822079491815,1,74.0
1.0010347459513567,1,95.0
1.0013919053258842,1,97.0
1.0014284522577717,1,73.0
1.0020454835858847,1,70.0
1.0023230068538698,1,72.0
1.0027655546669103,1,62.0
1.0028577036338766,1,75.0
1.0029246854453189,1,59.0
1.0033320990109185,1,56.0
1.0033561538606213,1,71.0
1.0038616991983251,1,83.0
1.0044747614602803,1,97.0
1.004522716180828,1,76.0
1.004663592477167,1,51.0
1.0048221497295784,1,73.0
1.0052256675136872,1,66.0
1.005702999596862,1,48.0
1.005712865618414,1,65.0
1.0057769455743917,1,94.0
1.00598452440734,1,85.0
1.0061354827856364,1,75.0
1.0067523490838934,1,64.0
1.006789513897759,1,74.0
1.0068782879831628,1,75.0
1.0069052085453367,1,68.0
1.0074548576926436,1,69.0
1.0077316411803592,1,58.0
1.0078120581086782,1,69.0
1.0079755571690592,1,68.0
1.0083586018571327,1,55.0
1.008429991623594,1,55.0
1.008615622406628,1,46.0
1.0086315293135897,1,67.0
1.0087226564629115,1,75.0
1.0089064202395424,1,72.0
1.00939567501463,1,69.0
1.0097883856530614,1,76.0
1.0099578578888493,1,94.0
1.010246050207335,1,70.0
1.01085476405393,1,55.0
1.0109007369209495,1,93.0
1.0116303294349267,1,73.0
1.0122169588938146,1,72.0
1.012301074330701,1,83.0
1.012579478271478,1,60.0
1.0126981840729246,1,61.0
1.01311441500272,1,73.0
1.0134495162038704,1,70.0
1.0137006580867114,1,67.0
1.0138598777783323,1,76.0
1.0142589445605328,1,63.0
1.0143620782188223,1,75.0
1.0146007899334504,1,40.0
1.0147422726037196,1,66.0
1.0149539388821576,1,92.0
1.015012089936306,1,58.0
1.0151206841445448,1,62.0
1.0152723124126641,1,97.0
1.0154149692459364,1,65.0
1.0155813655884958,1,76.0
1.015700323711897,1,64.0
1.0159706437262217,1,71.0
1.0176246662434947,1,57.0
1.0176541155757513,1,89.0
1.0186317175377995,1,63.0
1.0189085972552765,1,80.0
1.0191983576465926,1,65.0
1.0194494183160299,1,72.0
1.0197410838146834,1,59.0
1.0201432212917287,1,76.0
1.0206250623992756,1,73.0
1.0213181139095209,1,60.0
1.0213604040224302,1,83.0
1.0216271125534673,1,85.0
1.0216546796807162,1,61.0
1.02171551749018,1,97.0
1.0220549305942122,1,78.0
1.0223768335491912,1,39.0
1.0225486773156505,1,78.0
1.0230532226925964,1,75.0
1.0231853399168154,1,63.0
1.0232612179094116,1,65.0
1.0233758388340242,1,78.0
1.0235945218211207,1,93.0
1.0238823719594903,1,58.0
1.0238939955275392,1,60.0
1.0242303180347498,1,97.0
1.024573733546487,1,60.0
1.0249586831942552,1,70.0
1.0249964044514317,1,73.0
1.0250894616264157,1,68.0
1.0255422834096026,1,67.0
1.0259224729372323,1,91.0
1.0262741539236835,1,66.0
1.0264054832400897,1,76.0
1.0264440820294058,1,70.0
1.0264919551005423,1,70.0
1.0267886232317256,1,64.0
1.0268161508818983,1,76.0
1.0271989256757228,1,71.0
1.0273073704477849,1,84.0
1.0276915975806473,1,70.0
1.0277696301083288,1,65.0
1.0279473520802767,1,68.0
1.0279616933516509,1,56.0
1.0280366717272105,1,77.0
1.0282823646028236,1,66.0
1.0287457113876106,1,79.0
1.028752240672037,1,59.0
1.02879931190152,1,53.0
1.0294316725259087,1,69.0
1.0297869456531799,1,73.0
1.0299456223103682,1,67.0
1.0301994969464545,1,73.0
1.0307133181161374,1,69.0
1.0308013182985882,1,61.0
1.0308135936422784,1,97.0
1.0311733498649478,1,72.0
1.03119385120544,1,58.0
1.0315819098230703,1,53.0
1.0316522425596595,1,93.0
1.03187225196945,1,62.0
1.0319583847606166,1,62.0
1.0321492518144377,1,74.0
1.032568424412086,1,66.0
1.0325742682563654,1,86.0
1.0328337423248057,1,61.0
1.0329053862173871,1,58.0
1.0331557620425078,1,68.0
1.0331620756926552,1,70.0
1.0332360255230844,1,65.0
1.0332534638699802,1,69.0
1.0333427794526084,1,65.0
1.0334461762346607,1,76.0
1.0336817284697726,1,64.0
1.0338823310252303,1,61.0
1.0340110742967847,1,78.0
1.034316147623073,1,68.0
1.0343464735694932,1,53.0
1.0344780430018445,1,59.0
1.0356740456907594,1,75.0
1.0359354066553612,1,69.0
1.0366030049518988,1,65.0
1.0371026363890297,1,63.0
1.0371256633423471,1,68.0
1.0374985059472077,1,79.0
1.0382233775725207,1,67.0
1.0385922930809521,1,75.0
1.038891015148935,1,70.0
1.0390116647641383,1,79.0
1.03946349308044,1,72.0
1.0395942789458645,1,71.0
1.0396655981535587,1,75.0
1.0403757459086957,1,65.0
1.0404653159541868,1,80.0
1.040547867333562,1,79.0
1.0406860244453087,1,57.0
1.0410582930066954,1,74.0
1.0412465607321773,1,83.0
1.04136909845733,1,69.0
1.041414311761279,1,92.0
1.0421458151550702,1,79.0
1.0425417263113443,1,53.0
1.0429504703089094,1,72.0
1.0429836709722846,1,96.0
1.0430748024259757,1,74.0
1.0430959631063117,1,73.0
1.0431065607447039,1,62.0
1.0435628024634436,1,65.0
1.043615381004185,1,70.0
1.0438539987000062,1,69.0
1.0438878488393843,1,70.0
1.0439111735830566,1,64.0
1.0439614560468506,1,89.0
1.0446420617078558,1,90.0
1.0447231850886078,1,60.0
1.044808611181788,1,69.0
1.0448820265967664,1,54.0
1.0450582712170249,1,59.0
1.0452671128558761,1,93.0
1.0453329460808698,1,82.0
1.0453459539616485,1,76.0
1.0456417732206782,1,72.0
1.0456814064600901,1,54.0
1.0456865126763546,1,62.0
1.0459057149883244,1,48.0
1.0459957028556905,1,65.0
1.046033339264032,1,64.0
1.046054460795594,1,49.0
1.0461789437643945,1,68.0
1.0463104856324852,1,66.0
1.0467720799375084,1,65.0
1.0469308777860697,1,59.0
1.047128976978978,1,78.0
1.0474207825542896,1,65.0
1.047844207003009,1,88.0
1.0481717861509354,1,76.0
1.0481774672428006,1,73.0
1.0483159219486216,1,67.0
1.048828778054569,1,75.0
1.0488873487164432,1,74.0
1.0491601622240974,1,62.0
1.0491858213622058,1,66.0
1.0492487486673447,1,51.0
1.0492493115492478,1,95.0
1.049318944611899,1,65.0
1.0496127473426125,1,77.0
1.04964240196347,1,84.0
1.049741895059677,1,50.0
1.0500833051733696,1,74.0
1.0506316866842675,1,69.0
1.0507581432292539,1,51.0
1.050836800413303,1,93.0
1.0509875982941035,1,75.0
1.0510162662329596,1,92.0
1.0511395914195405,1,78.0
1.0512430573655127,1,71.0
1.051405037483042,1,95.0
1.051438370857166,1,67.0
1.0514467864785644,1,87.0
1.0522080944394636,1,65.0
1.0531558710248468,1,66.0
1.053417405127105,1,67.0
1.0537385697338169,1,56.0
1.0540502758509707,1,97.0
1.0546115928013522,1,77.0
1.05479614352655,1,65.0
1.0548224316584454,1,74.0
1.054880288666761,1,78.0
1.0549105581783498,1,93.0
1.0551412619903064,1,70.0
1.0552405269398761,1,94.0
1.055283779725726,1,65.0
1.0554282111310425,1,50.0
1.0554350245740598,1,72.0
1.0558737996711,1,75.0
1.0558904215308027,1,65.0
1.0561671072316128,1,61.0
1.0561704627354644,1,50.0
1.0568510768360153,1,87.0
1.0569777658859962,1,56.0
1.0569824138819905,1,69.0
1.057083707720921,1,66.0
1.0572299849493592,1,62.0
1.0574275635804526,1,64.0
1.0575296947211656,1,69.0
1.0575795785486193,1,68.0
1.057942302675976,1,52.0
1.0583021117910434,1,62.0
1.058446377056843,1,83.0
1.0593359991129008,1,84.0
1.0594494466502233,1,82.0
