persona,number_of_systems,days,content_creation_photo_edit_creation,content_creation_video_audio_edit_creation,content_creation_web_design_development,education,entertainment_music_audio_streaming,entertainment_other,entertainment_video_streaming,finance,games_other,games_video_games,mail,news,unclassified,private,productivity_crm,productivity_other,productivity_presentations,productivity_programming,productivity_project_management,productivity_spreadsheets,productivity_word_processing,recreation_travel,reference,search,shopping,social_social_network,social_communication,social_communication_live
Win Store App User,725,47936.0,0.055,0.012,0.183,2.082,0.15,2.73,22.193,0.624,1.854,0.012,2.203,1.043,31.771,19.78,0.0,0.731,0.109,0.118,0.004,0.366,0.584,0.343,0.598,5.069,2.794,2.64,0.92,1.031
Casual User,3825,229661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication,2384,223629.0,0.045,0.004,0.24,1.745,0.133,1.045,8.327,1.103,0.52,0.003,2.345,2.165,46.974,14.564,0.003,2.772,0.183,0.364,0.181,0.665,0.466,0.646,1.428,7.42,2.64,2.199,0.841,0.98
Web User,9744,854552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamer,3356,232829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Creator/IT,1817,142053.0,0.171,0.013,0.283,1.816,0.299,2.339,13.727,0.608,0.837,0.012,2.543,1.414,36.923,19.86,0.001,1.529,0.245,0.516,0.207,0.476,0.546,0.317,1.267,6.199,2.541,3.104,1.424,0.783
Unknown,3565,24515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casual Gamer,2342,195849.0,0.229,0.006,0.188,1.458,0.039,2.511,30.141,0.398,2.217,0.051,1.346,0.568,20.458,28.17,0.001,0.517,0.085,0.143,0.008,0.222,0.511,0.156,0.705,3.399,1.631,2.69,1.549,0.604
Office/Productivity,2561,194558.0,0.048,0.005,0.304,1.801,0.149,1.024,9.927,0.876,0.7,0.005,4.766,1.605,40.031,20.29,0.0,1.51,0.157,0.24,0.132,0.657,0.557,0.357,1.244,7.503,2.136,1.963,0.966,1.047
Entertainment,1022,62866.0,0.04,0.018,0.277,1.099,0.228,4.045,26.422,0.427,0.94,0.025,1.641,0.935,29.738,18.849,0.003,0.625,0.078,0.743,0.011,0.141,0.181,0.255,0.766,5.082,2.999,3.067,0.978,0.387
File & Network Sharer,643,43272.0,0.035,0.027,0.175,1.229,0.152,2.874,10.753,1.2,0.949,0.014,3.758,1.541,45.566,12.806,0.0,0.891,0.085,0.783,0.058,0.921,0.22,0.431,1.03,7.329,3.782,2.026,0.805,0.56
