connection_type,resolution,number_of_systems,average_duration_on_ac_in_seconds,average_duration_on_dc_in_seconds
DISPLAYPORT_EMBEDDED,1080x1920,1698,12750.58,2081.91
DISPLAYPORT_EMBEDDED,720x1280,328,1532.37,43.25
DISPLAYPORT_EMBEDDED,1024x1280,230,598.26,6.66
DISPLAYPORT_EMBEDDED,1440x2560,207,12893.59,1233.08
DISPLAYPORT_EMBEDDED,768x1024,197,909.89,38.97
DISPLAYPORT_EMBEDDED,480x640,181,426.54,11.04
DISPLAYPORT_EMBEDDED,2160x3840,168,15196.43,1788.83
DISPLAYPORT_EMBEDDED,768x1366,165,3586.04,410.21
DISPLAYPORT_EMBEDDED,1050x1680,153,646.57,8.08
DISPLAYPORT_EMBEDDED,600x800,143,855.49,10.96
DISPLAYPORT_EMBEDDED,1024x1600,79,3482.37,5767.2
DISPLAYPORT_EMBEDDED,960x1280,74,576.41,7.63
DISPLAYPORT_EMBEDDED,1600x2560,66,2972.73,159.8
DISPLAYPORT_EMBEDDED,800x1280,62,964.09,36.54
DISPLAYPORT_EMBEDDED,768x1360,61,1478.28,95.99
DISPLAYPORT_EMBEDDED,900x1600,56,1355.81,3.69
DISPLAYPORT_EXTERNAL,1080x1920,25175,8003.6,178.75
DISPLAYPORT_EXTERNAL,1440x2560,7633,9788.47,123.39
DISPLAYPORT_EXTERNAL,2160x3840,6493,5388.58,58.11
DISPLAYPORT_EXTERNAL,768x1024,5462,4427.39,94.71
DISPLAYPORT_EXTERNAL,720x1280,3501,1972.05,89.32
DISPLAYPORT_EXTERNAL,1200x1920,3135,10192.69,390.48
DISPLAYPORT_EXTERNAL,1050x1680,3113,5342.66,178.95
DISPLAYPORT_EXTERNAL,900x1600,2970,4170.68,82.82
DISPLAYPORT_EXTERNAL,1024x1280,2723,5092.11,74.69
DISPLAYPORT_EXTERNAL,768x1366,2567,7132.65,53.99
DISPLAYPORT_EXTERNAL,480x640,2500,5068.21,33.98
DISPLAYPORT_EXTERNAL,600x800,1942,3242.74,15.5
DISPLAYPORT_EXTERNAL,1440x3440,1928,8639.07,139.1
DISPLAYPORT_EXTERNAL,900x1440,1413,4545.19,84.71
DISPLAYPORT_EXTERNAL,960x1280,1213,1045.46,1.4
DISPLAYPORT_EXTERNAL,1920x1080,1153,19936.79,253.68
DISPLAYPORT_EXTERNAL,1440x1920,1101,636.22,53.06
DISPLAYPORT_EXTERNAL,768x1360,1026,14054.5,84.4
DISPLAYPORT_EXTERNAL,800x1280,935,15331.82,231.93
DISPLAYPORT_EXTERNAL,1080x2560,891,9951.66,241.1
DISPLAYPORT_EXTERNAL,1600x2560,736,9618.73,380.91
DISPLAYPORT_EXTERNAL,768x1280,669,14335.56,36.52
DISPLAYPORT_EXTERNAL,1200x1600,659,2537.16,7.61
DISPLAYPORT_EXTERNAL,1024x1600,512,711.07,0.01
DISPLAYPORT_EXTERNAL,864x1152,511,7168.43,3.12
DISPLAYPORT_EXTERNAL,1080x1440,414,748.02,0.0
DISPLAYPORT_EXTERNAL,1050x1400,414,3526.21,428.09
DISPLAYPORT_EXTERNAL,1152x2048,395,8220.65,219.6
DISPLAYPORT_EXTERNAL,2036x3620,389,838.03,0.0
DISPLAYPORT_EXTERNAL,664x1176,356,1067.4,0.0
DISPLAYPORT_EXTERNAL,2560x1440,342,19377.06,88.9
DISPLAYPORT_EXTERNAL,1080x3840,338,24676.05,461.86
DISPLAYPORT_EXTERNAL,1440x5120,336,11831.89,106.57
DISPLAYPORT_EXTERNAL,1824x2736,330,4825.73,865.2
DISPLAYPORT_EXTERNAL,600x1280,319,1779.22,11.41
DISPLAYPORT_EXTERNAL,1600x3840,220,15523.73,582.64
DISPLAYPORT_EXTERNAL,2160x4096,198,10559.65,45.54
DISPLAYPORT_EXTERNAL,3840x2160,198,30959.81,50.17
DISPLAYPORT_EXTERNAL,1536x2048,196,1100.57,1.96
DISPLAYPORT_EXTERNAL,1504x2256,193,12991.02,581.08
DISPLAYPORT_EXTERNAL,2000x3000,183,2293.95,515.6
DISPLAYPORT_EXTERNAL,480x720,169,206.96,1.88
DISPLAYPORT_EXTERNAL,1527x2715,151,4380.97,0.0
DISPLAYPORT_EXTERNAL,1920x1200,148,32493.87,706.47
DISPLAYPORT_EXTERNAL,2048x2560,145,1399.34,200.31
DISPLAYPORT_EXTERNAL,2400x3840,131,3269.07,2069.2
DISPLAYPORT_EXTERNAL,1920x2560,109,971.37,7.27
DISPLAYPORT_EXTERNAL,992x1768,107,1447.45,0.0
DISPLAYPORT_EXTERNAL,1080x2048,101,19223.47,196.68
DISPLAYPORT_EXTERNAL,1440x1720,89,16193.18,44.58
DISPLAYPORT_EXTERNAL,1080x1728,87,1411.21,0.0
DISPLAYPORT_EXTERNAL,1280x1024,79,11481.41,498.3
DISPLAYPORT_EXTERNAL,831x1477,76,1249.32,0.0
DISPLAYPORT_EXTERNAL,2160x1920,73,8222.62,6.61
DISPLAYPORT_EXTERNAL,2880x5120,72,1955.38,125.06
DISPLAYPORT_EXTERNAL,1280x1920,72,17807.04,1887.44
DISPLAYPORT_EXTERNAL,576x720,71,561.71,6.23
DISPLAYPORT_EXTERNAL,918x1632,70,1130.36,0.0
DISPLAYPORT_EXTERNAL,2160x3240,69,17265.37,1091.5
DISPLAYPORT_EXTERNAL,1680x1050,69,30621.37,355.58
DISPLAYPORT_EXTERNAL,-1x-1,64,13120.09,95.24
DISPLAYPORT_EXTERNAL,1224x2176,61,1429.6,0.0
DISPLAYPORT_EXTERNAL,1920x2880,61,3619.1,594.99
DISPLAYPORT_EXTERNAL,1440x1280,56,4423.98,0.0
DISPLAYPORT_EXTERNAL,515x1920,56,7120.22,4445.87
DISPLAYPORT_EXTERNAL,990x1760,55,828.38,0.39
DISPLAYPORT_EXTERNAL,1800x3200,54,20918.17,209.03
DISPLAYPORT_EXTERNAL,1024x768,54,4316.49,103.69
DVI,1080x1920,4928,22595.53,155.07
DVI,768x1024,1531,19296.57,0.94
DVI,1050x1680,549,22275.5,110.22
DVI,720x1280,414,3598.33,1.06
DVI,1024x1280,414,23767.98,38.42
DVI,900x1600,400,23092.11,108.54
DVI,1200x1920,341,33837.9,192.06
DVI,768x1366,298,16789.64,184.55
DVI,2160x3840,277,25034.74,23.72
DVI,1920x1080,233,32607.17,199.67
DVI,1440x2560,228,20880.57,4.2
DVI,480x640,220,7288.24,0.99
DVI,900x1440,218,12853.97,65.75
DVI,600x800,200,2092.02,0.52
DVI,768x1360,154,28993.05,20.25
DVI,960x1280,134,557.48,0.0
DVI,1024x1600,104,429.22,0.0
DVI,800x1280,93,15557.4,80.47
DVI,1080x3840,82,30839.63,0.2
DVI,1200x1600,74,38402.53,93.98
DVI,768x1280,59,7277.89,0.0
DVI,1080x2560,51,27024.62,3.32
HD15,1080x1920,860,28097.78,641.69
HD15,768x1024,590,18550.77,102.34
HD15,768x1366,249,20867.21,150.83
