country,number_of_systems,avg_number_of_dc_powerons,avg_duration
Indonesia,186,3.0841121495327104,135.10552959501558
India,501,3.0775310770999496,171.7496586908098
Viet Nam,101,2.686267845003399,130.59653297076818
Other,718,2.6692812059562474,156.7454500888535
Thailand,141,2.6436100131752305,125.28985507246377
Mexico,160,2.5956314757770933,216.36768412209466
Brazil,263,2.559174809989142,163.3200868621064
Russian Federation,376,2.4792703150912105,133.5736469169305
France,336,2.470528282656701,138.5078987599796
Canada,262,2.447512647554806,213.28056492411469
Turkey,491,2.427906976744186,88.82876376988985
Japan,242,2.3775354969574036,150.80248478701824
Germany,421,2.367590206185567,102.31491623711341
Poland,147,2.3675319324268647,87.64194478780388
United States of America,1676,2.367169638774577,233.6589261218891
Netherlands,133,2.336520947176685,138.1443533697632
"Taiwan, Province of China",183,2.307620528771384,109.87620528771384
Italy,230,2.3016732283464565,95.68307086614173
Australia,181,2.297615543126288,220.55872828966736
Spain,202,2.261497641509434,92.37028301886792
"Korea, Republic of",435,2.2438954733685565,166.07196915607597
United Kingdom of Great Britain and Northern Ireland,416,2.2297051837362023,128.98490987844067
China,479,2.0776912660798916,125.85528097494922
